input_feature_id	mapped_gene_symbol	retained
1552924_a_at		false
1552925_at		false
1552927_at		false
1552928_s_at		false
1552929_at		false
1552930_at		false
1552931_a_at		false
1552932_at		false
1552933_at		false
1552935_at		false
1552937_s_at		false
1552938_at		false
1552939_at		false
1552940_at		false
1552942_at		false
1552943_at		false
1552944_a_at		false
1552946_at		false
1552947_x_at		false
1552948_at		false
1552950_at		false
1552952_at		false
1552953_a_at		false
1552954_at		false
1552955_at		false
1552957_at		false
1552960_at		false
1552961_at		false
1552964_at		false
1552965_a_at		false
1552967_at		false
1552969_a_at		false
1552970_s_at		false
1552971_at		false
1552972_at		false
1552973_at		false
1552974_at		false
1552975_x_at		false
1552976_at		false
1552977_a_at		false
1552978_a_at		false
1552979_at		false
1552980_at		false
1552982_a_at		false
1552985_at		false
1552986_at		false
1552987_a_at		false
1552988_at		false
1552990_at		false
1552991_at		false
1552993_at		false
1552995_at		false
1552997_a_at		false
1552998_at		false
1552999_a_at		false
1553002_at		false
1553003_at		false
1553004_at		false
1553006_at		false
1553007_a_at		false
1553009_s_at		false
1553011_at		false
1553013_at		false
1553015_a_at		false
1553016_at		false
1553019_at		false
1553020_at		false
1553021_s_at		false
1553022_at		false
1553023_a_at		false
1553024_at		false
1553025_at		false
1553027_a_at		false
1553028_at		false
1553030_a_at		false
1553031_at		false
1553032_at		false
1553033_at		false
1553034_at		false
1553036_at		false
1553037_a_at		false
1553039_a_at		false
1553041_at		false
1553042_a_at		false
1553043_a_at		false
1553044_at		false
1553045_at		false
1553046_s_at		false
1553047_at		false
1553048_a_at		false
1553051_s_at		false
1553052_at		false
1553053_at		false
1553055_a_at		false
1553057_at		false
1553058_at		false
1553059_at		false
1553060_at		false
1553061_at		false
1553062_at		false
1553063_at		false
1553064_at		false
1553066_at		false
1553067_a_at		false
1553069_at		false
1553070_a_at		false
1553071_a_at		false
1553072_at		false
1553074_at		false
1553075_a_at		false
1553076_at		false
1553077_at		false
1553078_at		false
1553079_at		false
1553080_at		false
1553081_at		false
1553082_at		false
1553083_at		false
1553084_at		false
1553086_at		false
1553087_at		false
1553088_a_at		false
1553089_a_at		false
1553093_a_at		false
1553094_at		false
1553096_s_at		false
1553099_at		false
1553101_a_at		false
1553102_a_at		false
1553103_at		false
1553105_s_at		false
1553106_at		false
1553107_s_at		false
1553108_at		false
1553111_a_at		false
1553112_s_at		false
1553113_s_at		false
1553114_a_at		false
1553115_at		false
1553117_a_at		false
1553118_at		false
1553120_at		false
1553122_s_at		false
1553123_at		false
1553125_x_at		false
1553126_a_at		false
1553127_a_at		false
1553129_at		false
1553130_at		false
1553131_a_at		false
1553132_a_at		false
1553133_at		false
1553134_s_at		false
1553136_at		false
1553137_s_at		false
1553138_a_at		false
1553139_s_at		false
1553140_at		false
1553141_at		false
1553142_at		false
1553145_at		false
1553146_at		false
1553147_at		false
1553148_a_at		false
1553150_at		false
1553151_at		false
1553153_at		false
1553155_x_at		false
1553156_at		false
1553157_at		false
1553158_at		false
1553159_at		false
1553162_x_at		false
1553163_at		false
1553165_at		false
1553166_at		false
1553167_a_at		false
1553168_at		false
1553169_at		false
1553171_x_at		false
1553172_at		false
1553174_at		false
1553175_s_at		false
1553176_at		false
1553177_at		false
1553178_a_at		false
1553179_at		false
1553180_at		false
1553181_at		false
1553183_at		false
1553185_at		false
1553186_x_at		false
1553188_s_at		false
1553190_s_at		false
1553191_at		false
1553192_at		false
1553193_at		false
1553194_at		false
1553196_a_at		false
1553197_at		false
1553199_at		false
1553202_at		false
1553204_at		false
1553205_at		false
1553207_at		false
1553208_s_at		false
1553209_at		false
1553211_at		false
1553212_at		false
1553213_a_at		false
1553214_a_at		false
1553215_s_at		false
1553216_at		false
1553217_s_at		false
1553218_a_at		false
1553219_a_at		false
1553220_at		false
1553221_at		false
1553222_at		false
1553224_at		false
1553225_s_at		false
1553226_at		false
1553227_s_at		false
1553228_at		false
1553229_at		false
1553232_at		false
1553234_at		false
1553235_at		false
1553237_x_at		false
1553238_a_at		false
1553239_at		false
1553241_at		false
1553243_at		false
1553244_at		false
1553246_a_at		false
1553247_a_at		false
1553248_at		false
1553249_at		false
1553252_a_at		false
1553253_at		false
1553254_at		false
1553255_at		false
1553257_at		false
1553258_at		false
1553260_s_at		false
1553261_x_at		false
1553262_a_at		false
1553263_at		false
1553264_a_at		false
1553265_at		false
1553266_at		false
1553267_a_at		false
1553268_at		false
1553269_at		false
1553271_at		false
1553272_at		false
1553274_a_at		false
1553275_s_at		false
1553276_at		false
1553277_at		false
1553279_at		false
1553280_at		false
1553281_at		false
1553282_at		false
1553284_s_at		false
1553285_s_at		false
1553286_at		false
1553288_a_at		false
1553292_s_at		false
1553293_at		false
1553295_at		false
1553296_at		false
1553297_a_at		false
1553298_at		false
1553299_at		false
1553300_a_at		false
1553301_a_at		false
1553303_at		false
1553304_at		false
1553306_at		false
1553310_at		false
1553311_at		false
1553313_s_at		false
1553314_a_at		false
1553315_at		false
1553316_at		false
1553317_s_at		false
1553318_at		false
1553319_at		false
1553320_s_at		false
1553321_a_at		false
1553322_s_at		false
1553323_a_at		false
1553325_at		false
1553326_at		false
1553327_a_at		false
1553328_a_at		false
1553329_at		false
1553330_at		false
1553333_at		false
1553335_x_at		false
1553336_a_at		false
1553338_at		false
1553340_s_at		false
1553341_at		false
1553344_at		false
1553346_a_at		false
1553347_s_at		false
1553348_a_at		false
1553349_at		false
1553350_at		false
1553351_at		false
1553352_x_at		false
1553354_a_at		false
1553355_at		false
1553356_at		false
1553357_at		false
1553359_at		false
1553361_x_at		false
1553362_at		false
1553363_at		false
1553364_at		false
1553365_at		false
1553366_s_at		false
1553367_a_at		false
1553369_at		false
1553371_at		false
1553372_at		false
1553373_at		false
1553374_at		false
1553375_at		false
1553376_a_at		false
1553378_a_at		false
1553380_at		false
1553383_at		false
1553385_at		false
1553386_at		false
1553387_at		false
1553388_at		false
1553389_at		false
1553390_at		false
1553391_at		false
1553392_at		false
1553394_a_at		false
1553395_a_at		false
1553396_a_at		false
1553397_at		false
1553398_at		false
1553399_a_at		false
1553400_a_at		false
1553401_at		false
1553402_a_at		false
1553403_at		false
1553405_a_at		false
1553407_at		false
1553409_at		false
1553410_a_at		false
1553411_s_at		false
1553412_at		false
1553413_at		false
1553415_at		false
1553417_at		false
1553418_a_at		false
1553420_at		false
1553422_s_at		false
1553423_a_at		false
1553424_at		false
1553425_at		false
1553426_at		false
1553427_at		false
1553428_at		false
1553429_at		false
1553430_a_at		false
1553432_s_at		false
1553433_at		false
1553434_at		false
1553435_at		false
1553436_at		false
1553437_at		false
1553438_at		false
1553439_at		false
1553440_at		false
1553441_at		false
1553442_a_at		false
1553443_at		false
1553444_a_at		false
1553446_at		false
1553447_at		false
1553448_at		false
1553449_at		false
1553450_s_at		false
1553451_at		false
1553452_at		false
1553453_at		false
1553454_at		false
1553456_at		false
1553457_at		false
1553458_at		false
1553459_at		false
1553460_at		false
1553461_at		false
1553462_at		false
1553464_at		false
1553465_a_at		false
1553466_at		false
1553467_at		false
1553468_at		false
1553470_at		false
1553471_at		false
1553472_at		false
1553474_at		false
1553475_at		false
1553478_at		false
1553479_at		false
1553482_at		false
1553483_at		false
1553484_at		false
1553485_at		false
1553486_a_at		false
1553488_at		false
1553489_a_at		false
1553491_at		false
1553492_a_at		false
1553493_a_at		false
1553494_at		false
1553497_at		false
1553498_at		false
1553499_s_at		false
1553500_at		false
1553502_a_at		false
1553504_at		false
1553505_at		false
1553506_at		false
1553507_a_at		false
1553508_at		false
1553510_s_at		false
1553511_at		false
1553512_at		false
1553513_at		false
1553514_a_at		false
1553515_at		false
1553517_at		false
1553518_at		false
1553519_at		false
1553521_at		false
1553523_at		false
1553524_at		false
1553525_at		false
1553526_at		false
1553527_at		false
1553528_a_at		false
1553529_at		false
1553530_a_at		false
1553531_at		false
1553532_a_at		false
1553533_at		false
1553534_at		false
1553535_a_at		false
1553536_at		false
1553537_at		false
1553538_s_at		false
1553539_at		false
1553540_a_at		false
1553541_at		false
1553542_at		false
1553544_at		false
1553545_at		false
1553546_at		false
1553547_at		false
1553549_at		false
1553550_at		false
1553551_s_at		false
1553552_at		false
1553553_at		false
1553555_at		false
1553556_at		false
1553558_at		false
1553559_at		false
1553560_at		false
1553561_at		false
1553562_at		false
1553564_at		false
1553565_s_at		false
1553566_at		false
1553567_s_at		false
1553568_a_at		false
1553569_at		false
1553570_x_at		false
1553572_a_at		false
1553573_s_at		false
1553574_at		false
1553575_at		false
1553579_a_at		false
1553581_s_at		false
1553582_a_at		false
1553583_a_at		false
1553584_at		false
1553585_a_at		false
1553586_at		false
1553587_a_at		false
1553588_at		false
1553589_a_at		false
1553590_at		false
1553591_at		false
1553592_x_at		false
1553593_a_at		false
1553594_a_at		false
1553599_a_at		false
1553600_at		false
1553601_a_at		false
1553602_at		false
1553603_s_at		false
1553604_at		false
1553605_a_at		false
1553607_at		false
1553608_a_at		false
1553611_s_at		false
1553612_at		false
1553613_s_at		false
1553614_a_at		false
1553618_at		false
1553619_a_at		false
1553620_at		false
1553622_a_at		false
1553623_at		false
1553625_at		false
1553626_a_at		false
1553627_s_at		false
1553629_a_at		false
1553630_at		false
1553633_s_at		false
1553634_a_at		false
1553635_s_at		false
1553636_at		false
1553637_s_at		false
1553639_a_at		false
1553640_at		false
1553641_a_at		false
1553642_at		false
1553644_at		false
1553645_at		false
1553646_at		false
1553647_at		false
1553651_at		false
1553652_a_at		false
1553654_at		false
1553655_at		false
1553656_at		false
1553657_at		false
1553658_at		false
1553660_at		false
1553661_a_at		false
1553663_a_at		false
1553666_at		false
1553668_at		false
1553670_at		false
1553672_at		false
1553673_at		false
1553674_at		false
1553675_at		false
1553677_a_at		false
1553678_a_at		false
1553679_s_at		false
1553681_a_at		false
1553682_at		false
1553683_s_at		false
1553684_at		false
1553685_s_at		false
1553686_at		false
1553688_at		false
1553689_s_at		false
1553690_at		false
1553691_at		false
1553693_s_at		false
1553694_a_at		false
1553695_a_at		false
1553696_s_at		false
1553697_at		false
1553698_a_at		false
1553701_a_at		false
1553702_at		false
1553703_at		false
1553704_x_at		false
1553705_a_at		false
1553706_at		false
1553708_at		false
1553709_a_at		false
1553710_at		false
1553711_a_at		false
1553713_a_at		false
1553715_s_at		false
1553717_at		false
1553718_at		false
1553719_s_at		false
1553720_a_at		false
1553721_at		false
1553722_s_at		false
1553723_at		false
1553725_s_at		false
1553726_s_at		false
1553727_at		false
1553728_at		false
1553729_s_at		false
1553730_x_at		false
1553732_s_at		false
1553734_at		false
1553736_at		false
1553739_at		false
1553740_a_at		false
1553741_at		false
1553743_at		false
1553746_a_at		false
1553747_at		false
1553749_at		false
1553750_a_at		false
1553752_at		false
1553755_at		false
1553756_at		false
1553757_at		false
1553759_at		false
1553761_at		false
1553764_a_at		false
1553765_a_at		false
1553768_a_at		false
1553769_at		false
1553770_a_at		false
1553772_at		false
1553775_at		false
1553776_at		false
1553778_at		false
1553780_at		false
1553781_at		false
1553785_at		false
1553787_at		false
1553789_a_at		false
1553792_at		false
1553793_a_at		false
1553794_at		false
1553796_at		false
1553797_a_at		false
1553798_a_at		false
1553799_at		false
1553801_a_at		false
1553802_a_at		false
1553803_at		false
1553804_a_at		false
1553805_at		false
1553808_a_at		false
1553809_a_at		false
1553810_a_at		false
1553811_at		false
1553812_at		false
1553813_s_at		false
1553815_a_at		false
1553817_at		false
1553818_x_at		false
1553821_at		false
1553822_at		false
1553823_a_at		false
1553826_a_at		false
1553828_at		false
1553829_at		false
1553830_s_at		false
1553831_at		false
1553832_at		false
1553834_at		false
1553835_a_at		false
1553837_at		false
1553838_at		false
1553839_at		false
1553840_a_at		false
1553842_at		false
1553843_at		false
1553844_a_at		false
1553845_x_at		false
1553846_at		false
1553847_a_at		false
1553849_at		false
1553850_at		false
1553851_at		false
1553852_at		false
1553856_s_at		false
1553857_at		false
1553858_at		false
1553859_at		false
1553860_at		false
1553861_at		false
1553863_at		false
1553864_at		false
1553865_a_at		false
1553868_a_at		false
1553869_at		false
1553871_at		false
1553872_at		false
1553873_at		false
1553874_a_at		false
1553875_s_at		false
1553876_at		false
1553878_at		false
1553879_a_at		false
1553880_at		false
1553881_at		false
1553882_at		false
1553883_at		false
1553885_x_at		false
1553886_at		false
1553887_at		false
1553888_at		false
1553889_at		false
1553890_s_at		false
1553891_at		false
1553893_at		false
1553894_at		false
1553895_at		false
1553898_a_at		false
1553900_s_at		false
1553901_x_at		false
1553905_at		false
1553906_s_at		false
1553907_a_at		false
1553909_x_at		false
1553910_at		false
1553911_at		false
1553912_at		false
1553914_at		false
1553915_at		false
1553917_at		false
1553918_at		false
1553919_at		false
1553920_at		false
1553923_at		false
1553924_at		false
1553927_at		false
1553928_at		false
1553929_at		false
1553930_at		false
1553931_at		false
1553934_at		false
1553935_at		false
1553936_a_at		false
1553938_a_at		false
1553940_a_at		false
1553943_at		false
1553944_at		false
1553945_at		false
1553946_at		false
1553947_at		false
1553949_at		false
1553952_at		false
1553954_at		false
1553955_at		false
1553956_at		false
1553957_at		false
1553959_a_at		false
1553960_at		false
1553961_s_at		false
1553962_s_at		false
1553963_at		false
1553965_x_at		false
1553967_at		false
1553968_a_at		false
1553970_s_at		false
1553971_a_at		false
1553972_a_at		false
1553973_a_at		false
1553974_at		false
1553976_a_at		false
1553977_a_at		false
1553978_at		false
1553979_at		false
1553982_a_at		false
1553983_at		false
1553984_s_at		false
1553986_at		false
1553987_at		false
1553989_a_at		false
1553990_at		false
1553991_s_at		false
1553992_s_at		false
1553993_s_at		false
1553994_at		false
1553995_a_at		false
1553997_a_at		false
1553998_at		false
1554001_at		false
1554003_at		false
1554004_a_at		false
1554006_a_at		false
1554007_at		false
1554008_at		false
1554010_at		false
1554012_at		false
1554014_at		false
1554015_a_at		false
1554016_a_at		false
1554017_at		false
1554018_at	GPNMB	true
1554019_s_at		false
1554020_at		false
1554021_a_at		false
1554022_at		false
1554023_s_at		false
1554026_a_at		false
1554027_a_at		false
1554029_a_at		false
1554030_at		false
1554032_at		false
1554033_at		false
1554034_a_at		false
1554036_at		false
1554037_a_at		false
1554038_at		false
1554039_at		false
1554041_at		false
1554042_s_at		false
1554043_a_at		false
1554044_a_at		false
1554045_at		false
1554047_at		false
1554049_s_at		false
1554050_at		false
1554052_at		false
1554053_at		false
1554057_at		false
1554059_at		false
1554060_s_at		false
1554062_at		false
1554063_at		false
1554065_at		false
1554067_at		false
1554068_s_at		false
1554069_at		false
1554071_at		false
1554072_s_at		false
1554074_s_at		false
1554076_s_at		false
1554077_a_at		false
1554078_s_at		false
1554079_at		false
1554080_at		false
1554082_a_at		false
1554084_a_at		false
1554085_at		false
1554086_at		false
1554089_s_at		false
1554091_a_at		false
1554093_a_at		false
1554094_at		false
1554095_at		false
1554096_a_at		false
1554097_a_at		false
1554098_at		false
1554099_a_at		false
1554101_a_at		false
1554102_a_at		false
1554103_at		false
1554105_at		false
1554106_at		false
1554108_at		false
1554110_at		false
1554112_a_at		false
1554113_a_at		false
1554114_s_at		false
1554115_at		false
1554116_s_at		false
1554117_at		false
1554119_at		false
1554121_at		false
1554122_a_at		false
1554125_a_at		false
1554126_at		false
1554127_s_at		false
1554128_at		false
1554129_a_at		false
1554131_at		false
1554132_a_at		false
1554133_at		false
1554140_at		false
1554141_s_at		false
1554142_at		false
1554143_a_at		false
1554145_a_at		false
1554147_s_at		false
1554148_a_at		false
1554149_at		false
1554151_at		false
1554152_a_at		false
1554153_a_at		false
1554154_at		false
1554155_at		false
1554156_a_at		false
1554157_a_at		false
1554158_at		false
1554159_a_at		false
1554160_a_at		false
1554161_at		false
1554163_at		false
1554165_at		false
1554167_a_at		false
1554168_a_at		false
1554170_a_at		false
1554171_at		false
1554172_a_at		false
1554173_at		false
1554175_at		false
1554176_a_at		false
1554177_a_at		false
1554178_a_at		false
1554179_s_at		false
1554181_at		false
1554182_at		false
1554183_s_at		false
1554185_at		false
1554187_at		false
1554188_at		false
1554190_s_at		false
1554192_s_at		false
1554193_s_at		false
1554194_at		false
1554195_a_at		false
1554196_at		false
1554198_at		false
1554199_at		false
1554201_at		false
1554202_x_at		false
1554203_at		false
1554205_s_at		false
1554206_at		false
1554208_at		false
1554210_at		false
1554212_s_at		false
1554213_at		false
1554214_at		false
1554216_at		false
1554217_a_at		false
1554219_at		false
1554220_a_at		false
1554222_at		false
1554224_at		false
1554225_a_at		false
1554228_a_at		false
1554229_at		false
1554231_a_at		false
1554232_a_at		false
1554233_at		false
1554234_at		false
1554235_at		false
1554237_at		false
1554239_s_at		false
1554240_a_at		false
1554241_at		false
1554242_a_at		false
1554245_x_at		false
1554246_at		false
1554248_at		false
1554249_a_at		false
1554250_s_at		false
1554251_at		false
1554252_a_at		false
1554253_a_at		false
1554256_a_at		false
1554258_a_at		false
1554259_at		false
1554260_a_at		false
1554261_at		false
1554262_s_at		false
1554264_at		false
1554266_at		false
1554268_at		false
1554271_a_at		false
1554272_at		false
1554273_a_at		false
1554274_a_at		false
1554276_at		false
1554277_s_at		false
1554279_a_at		false
1554280_a_at		false
1554281_at		false
1554283_at		false
1554285_at		false
1554286_at		false
1554287_at		false
1554288_at		false
1554290_at		false
1554291_at		false
1554292_a_at		false
1554293_at		false
1554294_s_at		false
1554295_x_at		false
1554296_at		false
1554298_a_at		false
1554299_at		false
1554300_a_at		false
1554301_at		false
1554302_s_at		false
1554303_at		false
1554305_at		false
1554306_at		false
1554307_at		false
1554308_s_at		false
1554309_at		false
1554310_a_at		false
1554311_a_at		false
1554312_at		false
1554314_at		false
1554316_at		false
1554317_s_at		false
1554318_at		false
1554319_at		false
1554321_a_at		false
1554322_a_at		false
1554324_s_at		false
1554325_at		false
1554327_a_at		false
1554328_at		false
1554329_x_at		false
1554331_a_at		false
1554332_a_at		false
1554333_at		false
1554334_a_at		false
1554335_at		false
1554337_at		false
1554339_a_at		false
1554340_a_at		false
1554341_a_at		false
1554342_s_at		false
1554343_a_at		false
1554344_s_at		false
1554345_a_at		false
1554346_at		false
1554348_s_at		false
1554349_at		false
1554351_a_at		false
1554352_s_at		false
1554354_at		false
1554355_a_at		false
1554356_at		false
1554360_at		false
1554362_at		false
1554364_at		false
1554365_a_at		false
1554367_at		false
1554368_at		false
1554371_at		false
1554372_at		false
1554374_at		false
1554375_a_at		false
1554376_s_at		false
1554377_a_at		false
1554378_a_at		false
1554379_a_at		false
1554380_at		false
1554382_at		false
1554383_a_at		false
1554384_at		false
1554385_a_at		false
1554386_at		false
1554388_at		false
1554390_s_at		false
1554391_at		false
1554393_a_at		false
1554394_at		false
1554396_at		false
1554397_s_at		false
1554398_at		false
1554400_at		false
1554401_a_at		false
1554403_a_at		false
1554404_a_at		false
1554405_a_at		false
1554406_a_at		false
1554408_a_at		false
1554409_at		false
1554410_a_at		false
1554411_at		false
1554413_s_at		false
1554414_a_at		false
1554415_at		false
1554417_s_at		false
1554418_s_at		false
1554419_x_at		false
1554420_at		false
1554423_a_at		false
